族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
塑化・化纖,1313,聯成,塑膠工業,14.3,10.0,是,4.9,07-03,2026-07-03,明日開盤,12.16,
塑化・化纖,1326,台化,塑膠工業,68.0,9.9,是,2.6,07-03,2026-07-03,明日開盤,57.8,
塑化・化纖,1718,中纖,化學工業,14.95,9.9,是,2.6,06-25 06-26 06-30 07-03,2026-06-25,10.35,11.21,
塑化・化纖,1409,新纖,紡織纖維,31.0,9.9,是,2.8,07-03,2026-07-03,明日開盤,26.35,
塑化・化纖,4707,磐亞,化學工業,33.8,9.4,是,2.3,06-25 06-26 06-29 07-03,2026-06-25,26.0,25.35,
塑化・化纖,1434,福懋,紡織纖維,18.9,8.0,是,10.3,07-02 07-03,2026-07-02,17.5,14.88,
塑化・化纖,1708,東鹼,化學工業,60.7,6.5,是,2.2,07-03,2026-07-03,明日開盤,51.6,
塑化・化纖,6509,聚和,化學工業,55.6,6.3,是,2.3,07-03,2026-07-03,明日開盤,47.26,
塑化・化纖,1312,國喬,塑膠工業,15.1,4.5,是,4.3,07-03,2026-07-03,明日開盤,12.84,
塑化・化纖,1301,台塑,塑膠工業,62.1,4.0,是,3.5,06-25 07-02 07-03,2026-06-25,56.96,48.42,
塑化・化纖,4763,材料*-KY,化學工業,51.3,3.6,是,2.3,07-03,2026-07-03,明日開盤,43.6,
塑化・化纖,1710,東聯,化學工業,18.85,2.4,,4.5,06-30,2026-06-30,18.0,15.3,
塑化・化纖,6505,台塑化,油電燃氣業,58.9,2.3,,2.4,07-02,2026-07-02,57.9,49.22,
塑化・化纖,1444,力麗,紡織纖維,9.95,-0.5,,4.7,06-29 06-30 07-01 07-02,2026-06-29,8.65,7.5,
軍工／無人機,4541,晟田,其他,60.7,10.0,是,2.9,07-01 07-03,2026-07-01,55.3,47.0,
軍工／無人機,6753,龍德造船,航運業,154.0,10.0,是,3.2,07-03,2026-07-03,明日開盤,130.9,
軍工／無人機,2634,漢翔,航運業,60.0,9.9,是,3.5,06-29 06-30 07-03,2026-06-29,52.2,45.0,
軍工／無人機,2645,長榮航太,航運業,216.5,9.9,是,2.8,06-30 07-01 07-03,2026-06-30,188.0,162.38,
軍工／無人機,5371,中光電,光電業,93.1,9.9,是,3.4,06-30 07-03,2026-06-30,89.3,75.91,
軍工／無人機,2630,亞航,航運業,55.8,9.8,是,6.1,07-01 07-03,2026-07-01,50.8,43.18,
軍工／無人機,3213,茂訊,電腦及週邊設備業,142.5,9.6,是,2.6,07-03,2026-07-03,明日開盤,121.12,
軍工／無人機,8033,雷虎,其他,204.5,9.9,,4.7,06-30 07-01,2026-06-30,177.0,153.38,
生技醫療,4743,合一,生技醫療業,57.3,10.0,是,5.2,07-03,2026-07-03,明日開盤,48.7,
生技醫療,4147,中裕,生技醫療業,70.0,9.9,是,2.3,07-03,2026-07-03,明日開盤,59.5,
生技醫療,6491,晶碩,生技醫療業,372.5,7.3,是,8.7,06-30 07-03,2026-06-30,348.5,296.22,
生技醫療,4162,智擎,生技醫療業,63.7,4.4,是,2.7,07-03,2026-07-03,明日開盤,54.15,
生技醫療,6712,長聖,生技醫療業,159.5,3.9,,6.2,06-24 06-29,2026-06-24,152.5,129.62,
石英頻率元件,3042,晶技,電子零組件業,249.0,9.9,是,2.5,07-03,2026-07-03,明日開盤,211.65,
石英頻率元件,2484,希華,電子零組件業,96.4,9.9,是,2.5,07-03,2026-07-03,明日開盤,81.94,
石英頻率元件,8182,加高,電子零組件業,59.0,6.7,是,2.6,07-03,2026-07-03,明日開盤,50.15,
被動元件,3026,禾伸堂,電子零組件業,988.0,9.9,是,4.3,07-03,2026-07-03,明日開盤,839.8,
被動元件,6173,信昌電,電子零組件業,350.5,9.9,是,3.5,07-03,2026-07-03,明日開盤,297.93,
被動元件,5328,華容,電子零組件業,82.4,0.6,,2.2,07-02,2026-07-02,80.1,68.08,
被動元件,2375,凱美,電子零組件業,216.0,-0.5,,2.1,07-01,2026-07-01,225.5,191.67,
被動元件,2472,立隆電,電子零組件業,425.0,-0.7,,3.2,06-30,2026-06-30,461.5,392.27,
被動元件,3236,千如,電子零組件業,68.7,-2.0,,2.4,07-01,2026-06-15,72.0,61.2,
功率元件,6525,捷敏-KY,半導體業,183.0,9.9,是,2.7,06-22 06-23 07-03,2026-06-15,130.5,137.25,
功率元件,3707,漢磊,半導體業,91.0,3.8,,2.3,06-23,2026-06-23,95.5,81.17,
功率元件,8261,富鼎,半導體業,320.0,-2.1,,2.5,06-23 07-02,2026-06-23,249.5,245.25,
功率元件,6435,大中,半導體業,382.0,-2.7,,3.6,06-23 06-30 07-02,2026-06-23,358.5,304.72,
功率元件,6138,茂達,半導體業,400.0,-4.4,,2.8,07-02,2026-07-02,428.0,363.8,
功率元件,5299,杰力,半導體業,129.0,-5.1,,2.9,07-02,2026-07-02,134.5,114.33,
功率元件,2302,麗正,半導體業,52.0,-6.1,,2.2,07-02,2026-06-17,45.17,41.55,
矽晶圓／半導體材料,6182,合晶,半導體業,163.0,9.8,是,3.7,06-25 07-03,2026-06-17,119.5,122.25,
矽晶圓／半導體材料,5483,中美晶,半導體業,210.5,4.7,,2.7,07-01,2026-06-17,187.0,158.95,
矽晶圓／半導體材料,5434,崇越,電子通路業,531.0,-1.8,,3.4,06-29,2026-06-29,531.0,451.35,
車用零組件,2236,百達-KY,汽車工業,184.0,9.9,是,4.0,06-29 07-01 07-02 07-03,2026-06-29,149.0,138.0,
車用零組件,3717,聯嘉投控,汽車工業,28.9,1.2,,6.6,06-29 06-30 07-01,2026-06-29,25.95,22.06,
車用零組件,3346,麗清,汽車工業,29.15,-0.5,,2.7,06-30 07-02,2026-06-30,28.3,24.05,
CCL／PCB 材料,6213,聯茂,電子零組件業,394.0,9.9,,2.3,06-22,2026-06-22,301.47,295.5,
CCL／PCB 材料,6658,聯策,其他電子業,208.5,-9.9,,2.7,06-30,2026-06-30,257.0,218.45,出場
其他,7402,邑錡,光電業,138.5,9.9,是,5.4,07-03,2026-07-03,明日開盤,117.72,
其他,1617,榮星,電器電纜,24.5,9.9,是,4.2,06-29 07-01 07-03,2026-06-29,20.8,18.38,
其他,2466,冠西電,光電業,86.2,9.9,是,3.2,07-01 07-02 07-03,2026-07-01,72.3,64.65,
其他,6732,昇佳電子,半導體業,190.0,9.8,是,6.1,07-03,2026-07-03,明日開盤,161.5,
其他,8109,博大,電子零組件業,140.5,9.8,是,3.6,07-03,2026-07-03,明日開盤,119.42,
其他,6143,振曜,通信網路業,106.5,9.7,是,7.6,07-03,2026-07-03,明日開盤,90.52,
其他,3055,蔚華科,電子通路業,152.5,8.9,是,7.3,07-01 07-02 07-03,2026-07-01,129.0,114.38,
其他,1515,力山,電機機械,42.0,7.8,是,4.1,06-25 07-01 07-02 07-03,2026-06-05,23.15,31.5,
其他,7714,創泓科技,數位雲端,159.5,7.0,是,4.1,07-03,2026-07-03,明日開盤,135.57,
其他,3141,晶宏,半導體業,82.7,6.0,是,5.3,07-03,2026-07-03,明日開盤,70.29,
其他,2515,中工,建材營造,14.3,4.8,是,2.0,07-03,2026-07-03,明日開盤,12.16,
其他,3594,磐儀,電腦及週邊設備業,58.7,3.5,是,4.3,07-03,2026-07-03,明日開盤,49.9,
其他,2483,百容,電子零組件業,67.1,9.8,,3.4,06-26,2026-06-26,55.7,50.32,
其他,6271,同欣電,半導體業,279.0,5.7,,4.1,06-22 06-25 07-01,2026-06-22,268.0,227.8,
其他,2426,鼎元,光電業,79.0,5.6,,2.1,06-23,2026-06-23,92.0,78.2,
其他,6259,百徽,電子零組件業,40.05,3.4,,2.4,06-22,2026-06-11,29.2,31.46,
其他,6919,康霈*,生技醫療業,99.7,3.2,,2.4,06-22,2026-06-22,119.5,101.58,出場
